Time,Var1,Var2
51.2000,-1.1431,-0.1450
51.3000,-1.1431,-0.1450
51.4000,-1.1432,-0.1450
51.5000,-1.1432,-0.1450
51.6000,-1.1432,-0.1450
51.7000,-1.1432,-0.1450
51.8000,-1.1433,-0.1449
51.9000,-1.1433,-0.1449
52.0000,-1.1433,-0.1449
52.1000,-1.1433,-0.1449
52.2000,-1.1433,-0.1449
52.3000,-1.1434,-0.1449
52.4000,-1.1434,-0.1449
52.5000,-1.1434,-0.1449
52.6000,-1.1434,-0.1449
52.7000,-1.1435,-0.1449
52.8000,-1.1435,-0.1449
52.9000,-1.1435,-0.1449
53.0000,-1.1435,-0.1449
53.1000,-1.1436,-0.1448
53.2000,-1.1436,-0.1448
53.3000,-1.1436,-0.1448
53.4000,-1.1436,-0.1448
53.5000,-1.1436,-0.1448
53.6000,-1.1437,-0.1448
53.7000,-1.1437,-0.1448
53.8000,-1.1437,-0.1448
53.9000,-1.1437,-0.1448
54.0000,-1.1438,-0.1448
54.1000,-1.1438,-0.1448
54.2000,-1.1438,-0.1448
54.3000,-1.1438,-0.1448
54.4000,-1.1438,-0.1448
54.5000,-1.1439,-0.1448
54.6000,-1.1439,-0.1448
54.7000,-1.1439,-0.1448
54.8000,-1.1439,-0.1448
54.9000,-1.1439,-0.1448
55.0000,-1.1440,-0.1447
55.1000,-1.1440,-0.1447
55.2000,-1.1440,-0.1447
55.3000,-1.1440,-0.1447
55.4000,-1.1440,-0.1447
55.5000,-1.1441,-0.1447
55.6000,-1.1441,-0.1447
55.7000,-1.1441,-0.1447
55.8000,-1.1441,-0.1447
55.9000,-1.1441,-0.1447
56.0000,-1.1442,-0.1447
56.1000,-1.1442,-0.1447
56.2000,-1.1442,-0.1447
56.3000,-1.1442,-0.1447
56.4000,-1.1442,-0.1447
56.5000,-1.1442,-0.1447
56.6000,-1.1443,-0.1447
56.7000,-1.1443,-0.1447
56.8000,-1.1443,-0.1447
56.9000,-1.1443,-0.1447
57.0000,-1.1443,-0.1447
57.1000,-1.1443,-0.1447
57.2000,-1.1443,-0.1447
57.3000,-1.1444,-0.1447
57.4000,-1.1444,-0.1447
57.5000,-1.1444,-0.1447
57.6000,-1.1444,-0.1447
57.7000,-1.1444,-0.1447
57.8000,-1.1444,-0.1447
57.9000,-1.1444,-0.1447
58.0000,-1.1444,-0.1447
58.1000,-1.1445,-0.1447
58.2000,-1.1445,-0.1447
58.3000,-1.1445,-0.1447
58.4000,-1.1445,-0.1447
58.5000,-1.1445,-0.1447
58.6000,-1.1445,-0.1447
58.7000,-1.1445,-0.1447
58.8000,-1.1445,-0.1447
58.9000,-1.1445,-0.1447
59.0000,-1.1446,-0.1447
59.1000,-1.1446,-0.1447
59.2000,-1.1446,-0.1447
59.3000,-1.1446,-0.1447
59.4000,-1.1446,-0.1447
59.5000,-1.1446,-0.1447
59.6000,-1.1446,-0.1447
59.7000,-1.1446,-0.1447
59.8000,-1.1446,-0.1447
59.9000,-1.1446,-0.1447
60.0000,-1.1446,-0.1447
60.1000,-1.1446,-0.1447
60.2000,-1.1447,-0.1447
60.3000,-1.1447,-0.1447
60.4000,-1.1447,-0.1447
60.5000,-1.1447,-0.1447
60.6000,-1.1447,-0.1447
60.7000,-1.1447,-0.1447
60.8000,-1.1447,-0.1447
60.9000,-1.1447,-0.1447
61.0000,-1.1447,-0.1447
61.1000,-1.1447,-0.1447
