iteration,error,currentInitImpulse
271,160923.6494140625,1286.103002813184 283.62059401944913 -1.7709153362713144
272,243095.19100952148,1291.024289531934 284.87389754728116 -1.7715485760174081
273,364412.62731933594,1298.6117673517583 285.8371391244296 -1.7715562054119394
274,233183.0695953369,1303.390903191602 286.7861595101718 -1.7715867229900644
275,216610.97036743164,1307.8247860407232 287.69012832120694 -1.7877534100017831
276,261349.8077697754,1313.2169055841803 288.5977592416171 -1.7877000042400644
277,231958.03910827637,1317.780190593946 290.37099074796475 -1.7904389568767831
278,312558.8705749512,1324.1713412042975 291.70526503995694 -1.7905610271892831
279,221899.61407470703,1328.6599649591803 292.8648033089999 -1.7915986248455331
280,347902.9456176758,1335.8537431330085 294.0042762704257 -1.7916596600017831
281,187533.7094116211,1339.6785943048835 294.8466834969882 -1.7918503948650644
282,207723.94938659668,1343.9581497614265 295.59611129239835 -1.7919953533611581
283,153699.8827972412,1346.9619178644539 296.8572273202304 -1.7922547527752206
284,138509.2992401123,1349.7269622125984 297.7398033089999 -1.7928727337322519
285,244694.9312286377,1354.7849295343758 298.54823684171475 -1.7929185100994394
286,293331.42556762695,1360.8755888117196 299.399486536539 -1.7929948040447519
287,265607.0498352051,1366.4095235407235 300.086627954996 -1.7930558392010019
288,106255.98857116699,1368.41175813545 301.2810859628085 -1.7930100628338144
289,226122.9341583252,1372.9787891779306 302.4948005624179 -1.7930405804119394
290,181359.19718933105,1376.6121730646494 303.5937766976718 -1.7932999798260019
291,184398.06086730957,1380.357113958204 304.4948081918124 -1.7939637371502206
292,219894.2148590088,1384.6844370539072 306.17013930753507 -1.7948563763103769
293,190250.85357666016,1388.5841707331065 306.94164657071866 -1.7948868938885019
294,185942.19046020508,1392.4487023859385 307.4637031503085 -1.7950547405681894
295,251542.749710083,1397.4682938532237 309.07884597257413 -1.7950776287517831
296,227339.00700378418,1402.0667122248058 310.2682914681796 -1.7951386639080331
297,225588.7424468994,1406.644165020216 311.3855552621249 -1.7953828045330331
298,276487.6547088623,1412.4338141657238 311.9750785775546 -1.7961838909588144
299,351660.6318359375,1419.6763823175793 313.252887720621 -1.7963212200603769
300,236417.15092468262,1424.4637121271496 314.46933364347257 -1.7965882488689706
301,169921.5124359131,1427.8829389093762 315.4354515023593 -1.7984650799236581
302,248512.97035217285,1432.5676991388684 318.2230949349765 -1.7988923260174081
303,165636.2911529541,1435.952112993849 318.9423103280429 -1.7989152142010019
304,249417.94743347168,1440.9845371027357 320.3036155648593 -1.7989686199627206
305,334274.61531066895,1447.8170405573255 321.7448768563632 -1.7991212078533456
306,277157.29972839355,1453.5918581598646 322.46191024259366 -1.7990830608806894
307,224210.8666229248,1457.9354242365248 324.46913527921475 -1.8003190227947519
308,200243.1333618164,1461.9018311945326 325.8814506478671 -1.8026230999431894
309,268950.5262145996,1467.3971001520522 327.04992293790616 -1.8011124798260019
310,240826.7993927002,1472.1115005792983 328.9945335336093 -1.8010895916424081
311,175075.31636047363,1475.5969962824233 330.15289687589444 -1.8017304607830331
312,231587.84887695312,1480.3418303644546 331.1029090829257 -1.8020356365642831
313,126111.44189453125,1482.8940374933609 331.75746535733975 -1.8026612469158456
314,227077.71286010742,1487.491883660353 332.9260292001132 -1.8049348064861581
315,152292.43045043945,1490.5517583307633 333.81322097257413 -1.8052399822674081
316,176298.13206481934,1494.170722661818 334.505443567789 -1.8053849407635019
317,146934.81939697266,1497.1497486383805 335.24692153409757 -1.8059037395916269
318,144468.51803588867,1500.0173473078141 336.2405281014804 -1.8061478802166269
319,252785.60627746582,1505.1410037165056 337.519489283121 -1.8078492351970956
320,285551.1297149658,1510.9706919245134 338.78049087003507 -1.8079331585369394
321,230790.28398132324,1515.5890459040056 340.2057914681796 -1.8081467815838144
322,91492.79151916504,1517.3153024103533 341.2258415170077 -1.8085053631267831
323,316076.26460266113,1523.6888672663104 342.96654891446866 -1.8091996380291269
324,271860.5073699951,1529.3460853815448 343.70409774259366 -1.8099396892986581
325,211476.73530578613,1533.7508926081073 344.25670241788663 -1.8103364178142831
326,305169.1773071289,1539.78989325508 346.4384269662265 -1.6546281048260019
327,281362.7337799072,1545.5200712702167 347.74261855558194 -1.6556351849041269
328,268283.06230163574,1550.8032964655292 349.7729759164218 -1.6574891277752206
329,149746.71340942383,1553.806408440627 350.66806411222257 -1.6574662395916269
330,117468.29756164551,1556.1410710138691 351.4641456551913 -1.6576264568767831
331,191512.5308380127,1560.0913418024434 352.1347007699374 -1.6581986614666269
332,285953.43632507324,1565.9082965509785 353.4893379159335 -1.6582139202556894
333,143395.62385559082,1568.7724391046895 354.39928817228116 -1.6581605144939706
334,304589.9685974121,1575.0167467584981 355.6340904183749 -1.6581834026775644
335,149372.16249084473,1578.0282281793966 356.46083449796475 -1.6587098309002206
336,190955.86346435547,1581.9000840509786 357.4198341317538 -1.6598008343181894
337,124971.87763977051,1584.3695809137716 358.3277702279452 -1.6599229046306894
338,263812.1875,1589.7266891657248 359.6211204476718 -1.6599534222088144
339,315124.95668029785,1596.2528113947287 360.61227797941007 -1.7289765545330331
340,231406.49308776855,1601.040469268264 361.3607673592929 -1.7290147015056894
341,15855.500076293945,1600.4600317438499 362.406208033121 -1.7462342449627206
342,161224.9764251709,1603.6670850641624 363.4852561898593 -1.7462952801189706
343,407830.9132385254,1612.143784075393 364.6351356454257 -1.7462495037517831
344,142461.27235412598,1614.9675671320335 365.6332359261874 -1.7464326092205331
345,293122.23432922363,1621.0314090876 366.582965845621 -1.7466767498455331
346,203582.0457458496,1625.2398280695336 367.2564277596835 -1.7468445965252206
347,227168.93759155273,1629.7987261774438 368.6047706551913 -1.7481721111736581
348,232679.93293762207,1634.4682962824243 369.98612594083585 -1.7483628460369394
349,118346.44209289551,1636.8056444025415 370.852985376871 -1.7486527630291269
350,195468.79418945312,1640.8267388605493 371.5837440438632 -1.7494080730877206
351,299239.21502685547,1647.0157791803736 372.5611915536288 -1.7495454021892831
352,216824.31498718262,1651.4798133966822 373.3565254159335 -1.7504456707439706
353,280059.06228637695,1657.1874999567408 374.6400871224765 -1.7507508465252206
354,140424.42446899414,1659.9850150080104 375.56224441007413 -1.7513230511150644
355,340042.0619812012,1667.005560149612 376.7253761239413 -1.7516053387127206
356,155406.13735961914,1670.1571401422877 377.506061548746 -1.7521470257244394
357,179824.07484436035,1673.848866008987 378.2125816293124 -1.7522156902752206
358,290935.871673584,1679.8159596125026 379.3820152230624 -1.7522919842205331
359,430692.88945007324,1688.7200878229519 380.8034172006015 -1.7522462078533456
360,242234.83837890625,1693.5992145075222 382.163890833414 -1.7522767254314706
361,224458.6522064209,1698.1396037042996 383.3399238534335 -1.7523987957439706
362,195195.51385498047,1702.1532289850613 384.079547876871 -1.7524445721111581
363,243019.91633605957,1706.9815744196317 385.735309595621 -1.7526124187908456
364,295256.24070739746,1713.1315064630887 386.51076125577725 -1.7528336712322519
365,178184.73406982422,1716.8266884455106 387.0493965096835 -1.7528031536541269
366,222950.22831726074,1721.2306869562528 388.6797904916171 -1.7528794475994394
367,195759.7264251709,1725.1336326105497 389.95267867521085 -1.7529175945720956
368,274496.29580688477,1730.6683531671904 391.46991347745694 -1.7530549236736581
369,260613.07429504395,1735.9144766168974 392.94684218839444 -1.7538865276775644
370,447720.8801422119,1745.1235440973662 394.63109969571866 -1.7539857098064706
371,268198.3064880371,1750.7014241388702 395.37364577726163 -1.7540620037517831
372,133427.82577514648,1753.3825527765655 396.15140914396085 -1.7638581463299081
373,170533.57188415527,1756.7015827204132 397.61120223478116 -1.7878220745525644
374,364222.9616394043,1764.1841945124054 399.0219993539218 -1.7880662151775644
375,306877.18603515625,1770.5919390558624 399.76271438077725 -1.7880967327556894
376,222996.6564025879,1775.1488992975617 400.7319450326327 -1.7885697552166269
377,183675.2194519043,1778.8140977594758 401.91229628995694 -1.7934296795330331
378,228791.17922973633,1783.4861092707063 402.92130660489835 -1.7935364910564706
379,104135.25173950195,1785.571168572464 403.5609474130038 -1.7941621014080331
380,232826.34494018555,1790.2528617853548 404.90307235196866 -1.7943986126385019
381,221322.1416015625,1794.8394698542024 405.5869483895663 -1.7950318523845956
382,146551.18867492676,1797.6997519342806 406.8094749398593 -1.7993653484783456
383,127060.81079101562,1800.2306425348665 407.6452674813632 -1.7994263836345956
384,296971.0002441406,1806.308644646683 408.8972969003085 -1.7994874187908456
