iteration,error,currentInitImpulse
175,1518661.3849400282,279199.0863473528 8489.492298548697 -147.09814597416542
176,1461929.892727077,280370.79124479776 8596.042501320126 -147.49679901567578
177,1406165.0392235518,281518.99884965736 8701.246355592813 -147.87867081959484
178,1351412.088291049,282643.66687870567 8805.07906324778 -148.2407306706966
179,1297713.8736331463,283744.7595728807 8907.542134117874 -148.60450897103604
180,1245110.6561669707,284822.249061528 9008.647996170803 -148.95808096250704
181,1193638.3100708127,285876.11798919097 9108.376468688659 -149.39656928192875
182,1143339.441797495,286906.36016592314 9206.73335721929 -149.81252087161684
183,1094240.5675767064,287912.9829859345 9303.717014789978 -150.207205621506
184,1046380.8730031848,288896.00802009535 9399.325967539673 -150.58590543637857
185,999784.5353986621,289855.47212813055 9493.555531346326 -150.950693335084
186,954479.3099879622,290791.42886459135 9586.40692067378 -151.29591598872193
187,910487.3991010785,291703.9492085173 9677.884390441799 -151.65929169983696
188,867824.9280927181,292593.12151056423 9767.984175087842 -152.00230070506564
189,826506.4159247875,293459.0518947489 9856.71164763913 -152.33041237683207
190,786541.0052281022,294301.8658403552 9944.069201218716 -152.6471765016812
191,747938.2846543789,295121.7065331334 10030.068545705924 -152.95960423599604
192,710693.2120138407,295918.7360549661 10114.712162345206 -153.26471353289338
193,674810.016210556,296693.1351788018 10198.010605145917 -153.55718766846095
194,640279.6088188887,297445.10243436455 10279.973832738107 -153.8351217449423
195,607092.4398449063,298174.8551204972 10360.612358764878 -154.10253131886265
196,575236.0510316491,298882.6277447612 10439.943677740881 -154.36569770838878
197,544693.0219470263,299568.6718755333 10517.977064068153 -154.6529566243118
198,515445.14436131716,300233.255167447 10594.724982977561 -154.93274678690346
199,487467.67531889677,300876.66186349024 10670.205247272399 -155.2084479000036
200,460736.5365244746,301499.19085241074 10744.433770571794 -155.4703820408347
201,435224.1281927824,302101.1555508274 10817.429556632422 -155.7196166478585
202,410902.133441329,302682.88292888645 10889.209613121606 -155.95723353423602
203,387736.66670393944,303244.7125468517 10959.794264558928 -156.19324673896313
204,365696.25930023193,303786.995581622 11029.197692432817 -156.42277110484972
205,344745.34822148085,304310.0941392205 11097.440779039442 -156.65077841585148
206,3248
